percent_3pt,percent_2pt,DRB,ORB,TRB,STL,DRtg,NRtg,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.5910674325467573,-0.1588294372373626,0.8093763191497945,-0.099844699247979,0.5718453831242063,0.659422199580556,-1.992473848580668,1.3614991538668588,0.0595037513875627,SAS,DAL,2014-10-28 0:00,2015,1
-0.7692246136240235,-1.946222970868804,-0.3957595169874312,1.5572995234587066,0.6831096902663639,-0.5262761045742457,0.4989406575211642,-1.507238279846276,-1.9631009157245627,LAL,HOU,2014-10-28 0:00,2015,0
0.768496829873381,-1.011903623743279,0.2422535727322744,1.8189538744123943,1.3506955331192978,-0.6448459349897265,-0.4570672343551201,0.1888765532249934,-0.8073268202319196,NOP,ORL,2014-10-28 0:00,2015,1
-0.2960795540863606,-0.4025649190961959,-1.1046629500093277,0.94677270456677,-0.2626369204419641,0.1851428779186349,-0.3411874898852657,0.6914290963572214,-0.0368107565701574,TOR,ATL,2014-10-29 0:00,2015,1
-1.301512805603891,-0.4025649190961959,-1.1046629500093277,-0.361499050201667,-1.0971192240081344,0.8965618604115156,-0.6308868510598975,-0.5858919507705247,-0.6628550582953392,MIA,WAS,2014-10-29 0:00,2015,1
0.295351770335718,-0.7275455615746401,1.8018411253804485,0.7723364705976457,1.8513849152590032,-1.3562649174826071,-1.499984934583793,0.9427053679233356,-0.4702260423798987,POR,OKC,2014-10-29 0:00,2015,1
-1.774657865141554,-0.8494133025040568,-0.4666498602896218,0.94677270456677,0.2380524616977373,0.7779920299960359,-1.2682254456440885,0.0422987281447602,-1.4815283759359614,BOS,BKN,2014-10-29 0:00,2015,1
-0.8283677460662281,-0.9306584631236678,0.5967052892432225,2.516698810288895,2.073913529543314,0.659422199580556,-1.152345701174234,0.0422987281447602,-1.0962703441050805,UTA,HOU,2014-10-29 0:00,2015,0
-2.306946057121425,-2.393071354276665,1.2347183789629332,0.1618096517057074,1.1281669188349863,-1.5934045783135675,-1.5579248068187204,-0.7115300865535817,-2.6854597254074646,CHA,MIL,2014-10-29 0:00,2015,1
-0.9466540109506438,-0.483810079715807,-0.9628822634049462,0.6851183536130819,-0.2626369204419641,1.1337015212424773,-0.7757365316472135,-0.1880378541241776,-0.8073268202319196,PHX,LAL,2014-10-29 0:00,2015,1
-0.9466540109506438,-1.011903623743279,0.1004728861278981,0.7723364705976457,0.5718453831242063,-1.000555426236167,0.0933615518766821,-0.8162285330394626,-0.566540550337619,SAC,GSW,2014-10-29 0:00,2015,0
-0.5917952162974,-2.230581033037443,-1.4591146665202757,0.94677270456677,-0.5407976882973542,-0.2891364437432862,0.3251210408163867,-2.114489269464385,-2.2038871856188638,NYK,CHI,2014-10-29 0:00,2015,0
-1.0649402758350597,-0.9712810434334734,0.0295825428257075,0.6851183536130819,0.5162132295531274,1.6079808429043962,-1.9345339763457408,0.7333084749515737,-1.0962703441050805,MEM,MIN,2014-10-29 0:00,2015,1
-0.2960795540863606,-1.621242328390362,1.5182797521716909,0.5979002366285198,1.573224147403613,-1.474834747898088,-1.644834615171109,0.0632384174419364,-1.4815283759359614,IND,PHI,2014-10-29 0:00,2015,1
-1.8929441300259695,-1.3368842662217233,-0.8211015768005699,1.9933901083815189,0.627477536695285,0.3037127083341147,-0.1963378092979497,-0.7743491544451103,-1.722314645830262,DEN,DET,2014-10-29 0:00,2015,1
1.123355624526628,0.4098866870999148,0.2422535727322744,-0.2742809332171048,0.015523847413426,0.4222825387495945,-0.9785260844694564,1.4452579110555634,0.5410762911761587,LAC,OKC,2014-10-30 0:00,2015,1
-1.4789422029305146,-1.946222970868804,-2.5224698160531203,1.5572995234587066,-0.9858549168659768,0.8965618604115156,0.9624596354005776,-1.946971755086976,-1.7704718998091222,MIN,DET,2014-10-30 0:00,2015,1
